Date,Round,Opponent,Score,vs. Opponent,Unnamed: 5
"July 18, 2025 - 14:00 PDT",July 18,C9,2:0(Bo3),FUR,View match details
"July 18, 2025 - 16:20 PDT",July 18,LEV,1:2(Bo3),LOUD,View match details
"July 19, 2025 - 14:00 PDT",July 19,EG,2:1(Bo3),2G,View match details
"July 19, 2025 - 17:30 PDT",July 19,MIBR,1:2(Bo3),KRÜ,View match details
"July 20, 2025 - 14:00 PDT",July 20,100T,2:0(Bo3),NRG,View match details
"July 20, 2025 - 16:00 PDT",July 20,SEN,2:1(Bo3),G2,View match details
"July 25, 2025 - 14:00 PDT",July 25,2G,0:2(Bo3),G2,View match details
"July 25, 2025 - 16:10 PDT",July 25,FUR,0:2(Bo3),SEN,View match details
"July 26, 2025 - 14:00 PDT",July 26,100T,2:0(Bo3),KRÜ,View match details
"July 26, 2025 - 16:20 PDT",July 26,NRG,2:0(Bo3),LOUD,View match details
"July 27, 2025 - 14:00 PDT",July 27,C9,2:0(Bo3),EG,View match details
"July 27, 2025 - 16:20 PDT",July 27,MIBR,0:2(Bo3),LEV,View match details
"August 1, 2025 - 14:00 PDT",August 1,2G,2:1(Bo3),FUR,View match details
"August 1, 2025 - 17:20 PDT",August 1,LEV,1:2(Bo3),NRG,View match details
"August 2, 2025 - 14:00 PDT",August 2,SEN,2:0(Bo3),C9,View match details
"August 2, 2025 - 16:10 PDT",August 2,MIBR,2:0(Bo3),100T,View match details
"August 3, 2025 - 14:00 PDT",August 3,G2,2:1(Bo3),EG,View match details
"August 3, 2025 - 17:10 PDT",August 3,LOUD,1:2(Bo3),KRÜ,View match details
"August 8, 2025 - 14:00 PDT",August 8,C9,2:0(Bo3),2G,View match details
"August 8, 2025 - 16:00 PDT",August 8,MIBR,0:2(Bo3),NRG,View match details
"August 9, 2025 - 14:00 PDT",August 9,SEN,2:0(Bo3),EG,View match details
"August 9, 2025 - 16:10 PDT",August 9,LEV,2:1(Bo3),KRÜ,View match details
"August 10, 2025 - 14:00 PDT",August 10,FUR,0:2(Bo3),G2,View match details
"August 10, 2025 - 16:00 PDT",August 10,LOUD,1:2(Bo3),100T,View match details
"August 15, 2025 - 14:00 PDT",August 15,KRÜ,vs(Bo3),NRG,View match details
"August 15, 2025 - 17:00 PDT",August 15,100T,vs(Bo3),LEV,View match details
"August 16, 2025 - 14:00 PDT",August 16,FUR,vs(Bo3),EG,View match details
"August 16, 2025 - 17:00 PDT",August 16,2G,vs(Bo3),SEN,View match details
"August 17, 2025 - 14:00 PDT",August 17,G2,vs(Bo3),C9,View match details
"August 17, 2025 - 17:00 PDT",August 17,MIBR,vs(Bo3),LOUD,View match details
